Area,Encounter Type,Density (/255),Slot 0 (Name),0-50 (LV),Slot 1 (Name),51-101 (LV),Slot 2 (Name),102-140 (LV),Slot 3 (Name),141-165 (LV),Slot 4 (Name),166-190 (LV),Slot 5 (Name),191-215 (LV),Slot 6 (Name),216-228 (LV),Slot 7 (Name),229-241 (LV),Slot 8 (Name),242-252 (LV),Slot 9 (Name),253-255 (LV)
CeruleanCave1F,Grass,10,Golbat,46,Hypno,46,Magneton,46,Rapidash,49,Venomoth,49,Sandslash,52,Kadabra,49,Parasect,52,Raichu,53,Ditto,53
CeruleanCave2F,Grass,15,Dodrio,51,Venomoth,51,Kadabra,51,Rhydon,52,Raticate,52,Electrode,52,Chansey,56,Wigglytuff,54,Ditto,55,Ditto,60
CeruleanCaveB1F,Grass,25,Rhydon,55,Marowak,55,Electrode,55,Clefairy,64,Parasect,64,Raichu,64,Sandslash,57,Ditto,65,Ditto,63,Ditto,67
DiglettsCave,Grass,20,Diglett,18,Diglett,19,Diglett,17,Diglett,20,Diglett,16,Diglett,15,Diglett,21,Diglett,22,Dugtrio,29,Dugtrio,31
MtMoon1F,Grass,10,Zubat,8,Zubat,7,Zubat,9,Geodude,8,Zubat,6,Zubat,10,Geodude,10,Paras,8,Zubat,11,Clefairy,8
MtMoonB1F,Grass,10,Zubat,8,Zubat,7,Geodude,7,Geodude,8,Zubat,9,Paras,10,Zubat,10,Zubat,11,Clefairy,9,Geodude,9
MtMoonB2F,Grass,10,Zubat,9,Geodude,9,Zubat,10,Geodude,10,Zubat,11,Paras,10,Paras,12,Clefairy,10,Zubat,12,Clefairy,12
PokemonMansion1F,Grass,10,Grimer,32,Grimer,30,Ponyta,34,Ponyta,30,Growlithe,34,Ponyta,32,Koffing,30,Ponyta,28,Muk,37,Weezing,39
PokemonMansion2F,Grass,10,Growlithe,32,Grimer,34,Grimer,34,Ponyta,30,Grimer,30,Ponyta,32,Koffing,30,Ponyta,28,Muk,39,Weezing,37
PokemonMansion3F,Grass,10,Grimer,31,Growlithe,33,Grimer,35,Ponyta,32,Ponyta,34,Muk,40,Koffing,34,Muk,38,Ponyta,36,Weezing,42
PokemonMansion4F,Grass,10,Grimer,33,Grimer,31,Growlithe,35,Ponyta,32,Grimer,31,Muk,40,Ponyta,34,Koffing,35,Muk,40,Weezing,42
PokemonTower3F,Grass,10,Gastly,20,Gastly,21,Gastly,22,Gastly,23,Gastly,19,Gastly,18,Gastly,24,Cubone,20,Cubone,22,Haunter,25
PokemonTower4F,Grass,10,Gastly,20,Gastly,21,Gastly,22,Gastly,23,Gastly,19,Gastly,18,Haunter,25,Cubone,20,Cubone,22,Gastly,24
PokemonTower5F,Grass,10,Gastly,20,Gastly,21,Gastly,22,Gastly,23,Gastly,19,Gastly,18,Haunter,25,Cubone,20,Cubone,22,Gastly,24
PokemonTower6F,Grass,15,Gastly,21,Gastly,22,Gastly,23,Gastly,24,Gastly,20,Gastly,19,Haunter,26,Cubone,22,Cubone,24,Haunter,28
PokemonTower7F,Grass,15,Gastly,21,Gastly,22,Gastly,23,Gastly,24,Gastly,20,Haunter,28,Cubone,22,Cubone,24,Haunter,28,Haunter,30
