Area,Group#,Slot 0,LV,Slot 1,LV,Slot 2,LV,Slot 3,LV,Slot 4,LV,Slot 5,LV,Slot 6,LV,Slot 7,LV,Slot 8,LV,Slot 9,LV,Slot 10,LV,Slot 11,LV
PALLET_TOWN,Group1,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15
VIRIDIAN_CITY,Group1,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,TENTACOOL,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15
CERULEAN_CITY,Group3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15
VERMILION_CITY,Group4,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15
CELADON_CITY,Group5,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
FUCHSIA_CITY,Group10,SEAKING,23,SEAKING,23,SEAKING,23,KRABBY,15,KRABBY,15,KRABBY,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,MAGIKARP,15,MAGIKARP,15,MAGIKARP,15
CINNABAR_ISLAND,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
ROUTE_4,Group3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15
ROUTE_6,Group4,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15
ROUTE_10,Group5,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,POLIWHIRL,23,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
ROUTE_11,Group4,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15
ROUTE_12,Group7,TENTACOOL,5,TENTACOOL,5,TENTACOOL,5,KRABBY,15,KRABBY,15,KRABBY,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,MAGIKARP,15,MAGIKARP,15,MAGIKARP,15
ROUTE_13,Group7,TENTACOOL,5,TENTACOOL,5,TENTACOOL,5,KRABBY,15,KRABBY,15,KRABBY,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,MAGIKARP,15,MAGIKARP,15,MAGIKARP,15
ROUTE_17,Group7,TENTACOOL,5,TENTACOOL,5,TENTACOOL,5,KRABBY,15,KRABBY,15,KRABBY,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,MAGIKARP,15,MAGIKARP,15,MAGIKARP,15
ROUTE_18,Group7,TENTACOOL,5,TENTACOOL,5,TENTACOOL,5,KRABBY,15,KRABBY,15,KRABBY,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,MAGIKARP,15,MAGIKARP,15,MAGIKARP,15
ROUTE_19,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
ROUTE_20,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
ROUTE_21,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
ROUTE_22,Group2,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15,POLIWAG,15
ROUTE_23,Group9,SLOWBRO,23,SLOWBRO,23,SLOWBRO,23,SEAKING,23,SEAKING,23,SEAKING,23,KINGLER,23,KINGLER,23,KINGLER,23,SEADRA,23,SEADRA,23,SEADRA,23
ROUTE_24,Group3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15
ROUTE_25,Group3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15
CERULEAN_GYM,Group3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15
VERMILION_DOCK,Group4,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,KRABBY,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,SHELLDER,15
SEAFOAM_ISLANDS_B3F,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
SEAFOAM_ISLANDS_B4F,Group8,STARYU,15,STARYU,15,STARYU,15,HORSEA,15,HORSEA,15,HORSEA,15,SHELLDER,15,SHELLDER,15,SHELLDER,15,GOLDEEN,15,GOLDEEN,15,GOLDEEN,15
SAFARI_ZONE_EAST,Group6,DRATINI,15,DRATINI,15,DRATINI,15,KRABBY,15,KRABBY,15,KRABBY,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
SAFARI_ZONE_NORTH,Group6,DRATINI,15,DRATINI,15,DRATINI,15,KRABBY,15,KRABBY,15,KRABBY,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
SAFARI_ZONE_WEST,Group6,DRATINI,15,DRATINI,15,DRATINI,15,KRABBY,15,KRABBY,15,KRABBY,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
SAFARI_ZONE_CENTER,Group6,DRATINI,15,DRATINI,15,DRATINI,15,KRABBY,15,KRABBY,15,KRABBY,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15
