Area,Encounter Type,Density (/255),Slot 0 (Name),0-50 (LV),Slot 1 (Name),51-101 (LV),Slot 2 (Name),102-140 (LV),Slot 3 (Name),141-165 (LV),Slot 4 (Name),166-190 (LV),Slot 5 (Name),191-215 (LV),Slot 6 (Name),216-228 (LV),Slot 7 (Name),229-241 (LV),Slot 8 (Name),242-252 (LV),Slot 9 (Name),253-255 (LV)
CeruleanCave1F,Grass,10,GOLBAT,50,GOLBAT,55,GRAVELER,45,GLOOM,55,WEEPINBELL,55,SANDSLASH,52,VENOMOTH,54,PARASECT,54,DITTO,55,DITTO,60
CeruleanCave2F,Grass,15,GOLBAT,52,GOLBAT,57,GRAVELER,50,SANDSLASH,56,RHYHORN,50,DITTO,60,GLOOM,58,WEEPINBELL,58,RHYDON,60,RHYDON,58
CeruleanCaveB1F,Grass,25,GOLBAT,54,GOLBAT,59,GRAVELER,55,RHYHORN,52,RHYDON,62,DITTO,60,CHANSEY,56,DITTO,65,LICKITUNG,55,LICKITUNG,50
DiglettsCave,Grass,20,DIGLETT,18,DIGLETT,19,DIGLETT,17,DIGLETT,20,DIGLETT,16,DIGLETT,15,DIGLETT,21,DIGLETT,22,DUGTRIO,29,DUGTRIO,31
MtMoon1F,Grass,10,ZUBAT,8,ZUBAT,9,GEODUDE,10,ZUBAT,6,ZUBAT,7,ZUBAT,10,GEODUDE,10,ZUBAT,11,SANDSHREW,12,CLEFAIRY,11
MtMoonB1F,Grass,10,ZUBAT,8,ZUBAT,9,ZUBAT,10,GEODUDE,10,GEODUDE,11,ZUBAT,11,PARAS,9,PARAS,11,CLEFAIRY,10,CLEFAIRY,12
MtMoonB2F,Grass,10,ZUBAT,10,GEODUDE,11,PARAS,13,ZUBAT,11,ZUBAT,11,ZUBAT,12,ZUBAT,13,CLEFAIRY,9,CLEFAIRY,11,CLEFAIRY,13
PokemonMansion1F,Grass,10,RATTATA,34,RATICATE,34,GRIMER,23,GROWLITHE,26,RATTATA,37,RATICATE,37,GROWLITHE,30,GRIMER,26,GROWLITHE,34,GROWLITHE,38
PokemonMansion2F,Grass,10,RATTATA,37,RATICATE,37,GRIMER,26,GRIMER,29,RATTATA,40,RATICATE,40,GRIMER,32,GRIMER,35,MUK,35,MUK,38
PokemonMansion3F,Grass,10,RATTATA,40,RATICATE,40,GRIMER,32,GRIMER,35,RATTATA,43,RATICATE,43,GRIMER,38,GRIMER,38,MUK,38,MUK,41
PokemonMansionB1F,Grass,10,GRIMER,35,GRIMER,38,RATICATE,37,RATICATE,40,MUK,41,RATICATE,43,DITTO,24,RATICATE,46,DITTO,18,DITTO,12
PokemonTower3F,Grass,10,GASTLY,20,GASTLY,21,GASTLY,22,GASTLY,23,GASTLY,24,GASTLY,19,GASTLY,18,GASTLY,25,HAUNTER,20,HAUNTER,25
PokemonTower4F,Grass,10,GASTLY,20,GASTLY,21,GASTLY,22,GASTLY,23,GASTLY,24,GASTLY,19,GASTLY,18,GASTLY,25,HAUNTER,20,HAUNTER,25
PokemonTower5F,Grass,15,GASTLY,22,GASTLY,23,GASTLY,24,GASTLY,25,GASTLY,26,GASTLY,21,CUBONE,20,GASTLY,27,HAUNTER,22,HAUNTER,27
PokemonTower6F,Grass,15,GASTLY,22,GASTLY,23,GASTLY,24,GASTLY,25,GASTLY,26,GASTLY,21,CUBONE,22,GASTLY,27,HAUNTER,22,HAUNTER,27
PokemonTower7F,Grass,20,GASTLY,24,GASTLY,25,GASTLY,26,GASTLY,27,GASTLY,28,GASTLY,23,CUBONE,24,GASTLY,29,HAUNTER,24,HAUNTER,29
PowerPlant,Grass,10,MAGNEMITE,30,MAGNEMITE,35,MAGNETON,33,VOLTORB,33,VOLTORB,37,GRIMER,33,GRIMER,37,MAGNETON,38,MUK,33,MUK,37
RockTunnel1F,Grass,15,ZUBAT,15,GEODUDE,16,ZUBAT,17,ZUBAT,19,GEODUDE,18,GEODUDE,20,ZUBAT,21,MACHOP,17,MACHOP,19,MACHOP,21
RockTunnelB1F,Grass,15,ZUBAT,20,GEODUDE,17,MACHOP,18,ZUBAT,21,ZUBAT,22,GEODUDE,21,MACHOP,20,ONIX,14,ONIX,18,ONIX,22
Route1,Grass,25,PIDGEY,3,PIDGEY,4,RATTATA,2,RATTATA,3,PIDGEY,2,PIDGEY,3,PIDGEY,5,RATTATA,4,PIDGEY,6,PIDGEY,7
Route10,Grass,15,MAGNEMITE,16,RATTATA,18,MAGNEMITE,18,MAGNEMITE,20,NIDORAN_M,17,NIDORAN_F,17,MAGNEMITE,22,RATICATE,20,MACHOP,16,MACHOP,18
Route11,Grass,15,PIDGEY,16,RATTATA,15,PIDGEY,18,DROWZEE,15,RATTATA,17,DROWZEE,17,PIDGEOTTO,18,PIDGEOTTO,20,DROWZEE,19,RATICATE,17
Route12,Grass,15,ODDISH,25,BELLSPROUT,25,PIDGEY,28,PIDGEOTTO,28,ODDISH,27,BELLSPROUT,27,GLOOM,29,WEEPINBELL,29,FARFETCHD,26,FARFETCHD,31
Route12,Water,3,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWBRO,15,SLOWBRO,20
Route13,Grass,15,ODDISH,25,BELLSPROUT,25,PIDGEOTTO,28,PIDGEY,28,ODDISH,27,BELLSPROUT,27,GLOOM,29,WEEPINBELL,29,FARFETCHD,26,FARFETCHD,31
Route13,Water,3,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWPOKE,15,SLOWBRO,15,SLOWBRO,20
Route14,Grass,15,ODDISH,26,BELLSPROUT,26,VENONAT,24,PIDGEOTTO,30,ODDISH,28,BELLSPROUT,28,GLOOM,30,WEEPINBELL,30,VENONAT,27,VENOMOTH,30
Route15,Grass,15,ODDISH,26,BELLSPROUT,26,VENONAT,24,PIDGEOTTO,32,ODDISH,28,BELLSPROUT,28,GLOOM,30,WEEPINBELL,30,VENONAT,27,VENOMOTH,30
Route16,Grass,25,SPEAROW,22,DODUO,22,RATTATA,23,DODUO,24,RATTATA,24,DODUO,26,SPEAROW,23,FEAROW,24,RATICATE,25,RATICATE,26
Route17,Grass,25,DODUO,26,FEAROW,27,DODUO,27,DODUO,28,PONYTA,28,PONYTA,30,FEAROW,29,DODUO,28,PONYTA,32,DODRIO,29
Route18,Grass,25,SPEAROW,22,DODUO,22,RATTATA,23,DODUO,24,RATTATA,24,DODUO,26,SPEAROW,23,FEAROW,24,RATICATE,25,RATICATE,26
Route19,Water,5,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,20,TENTACOOL,30,TENTACOOL,35,TENTACOOL,40
Route2,Grass,25,RATTATA,3,PIDGEY,3,RATTATA,4,NIDORAN_M,4,NIDORAN_F,4,PIDGEY,5,NIDORAN_M,6,NIDORAN_F,6,PIDGEY,7,PIDGEY,7
Route20,Water,5,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,20,TENTACOOL,30,TENTACOOL,35,TENTACOOL,40
Route21,Grass,25,PIDGEY,15,RATTATA,13,PIDGEY,13,PIDGEY,11,PIDGEY,17,RATTATA,15,RATICATE,15,PIDGEOTTO,17,PIDGEOTTO,19,PIDGEOTTO,15
Route21,Water,5,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,5,TENTACOOL,10,TENTACOOL,15,TENTACOOL,20,TENTACOOL,30,TENTACOOL,35,TENTACOOL,40
Route22,Grass,25,NIDORAN_M,2,NIDORAN_F,2,MANKEY,3,RATTATA,3,NIDORAN_M,4,NIDORAN_F,4,MANKEY,5,SPEAROW,2,SPEAROW,4,SPEAROW,6
Route23,Grass,10,NIDORINO,41,NIDORINA,41,MANKEY,36,NIDORINO,44,NIDORINA,44,FEAROW,40,MANKEY,41,FEAROW,45,PRIMEAPE,41,PRIMEAPE,46
Route24,Grass,25,ODDISH,12,BELLSPROUT,12,PIDGEY,13,ODDISH,14,BELLSPROUT,14,PIDGEY,15,VENONAT,13,VENONAT,16,PIDGEY,17,PIDGEOTTO,17
Route25,Grass,15,ODDISH,12,BELLSPROUT,12,PIDGEY,13,ODDISH,14,BELLSPROUT,14,PIDGEY,15,VENONAT,13,VENONAT,16,PIDGEY,17,PIDGEOTTO,17
Route3,Grass,20,SPEAROW,8,SPEAROW,9,MANKEY,9,SPEAROW,10,SANDSHREW,8,RATTATA,10,SANDSHREW,10,RATTATA,12,SPEAROW,11,SPEAROW,12
Route4,Grass,20,SPEAROW,8,SPEAROW,9,MANKEY,9,SPEAROW,10,SANDSHREW,8,RATTATA,10,SANDSHREW,10,RATTATA,12,SPEAROW,11,SPEAROW,12
Route5,Grass,15,PIDGEY,15,RATTATA,14,ABRA,7,PIDGEY,16,RATTATA,16,PIDGEY,17,PIDGEOTTO,17,JIGGLYPUFF,3,JIGGLYPUFF,5,JIGGLYPUFF,7
Route6,Grass,15,PIDGEY,15,RATTATA,14,ABRA,7,PIDGEY,16,RATTATA,16,PIDGEY,17,PIDGEOTTO,17,JIGGLYPUFF,3,JIGGLYPUFF,5,JIGGLYPUFF,7
Route6,Water,3,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,PSYDUCK,15,GOLDUCK,15,GOLDUCK,20
